uid,sdn_type,first_name,last_name,title,remarks
27039,Individual,Salman Raouf,SALMAN,,(Linked To: HIZBALLAH)
44499,Individual,Amer Mohamed Akil,RADA,,(Linked To: HIZBALLAH)
44522,Individual,Samer Akil,RADA,,(Linked To: HIZBALLAH)
