entity_uid,address_uid,address1,address2,address3,city,state_province,postal_code,country
33332,50047,"PO Box 3390, Safat 13034",,,Kuwait City,,,Kuwait
33332,50048,"PO Box 126, Safat 13002",,,Kuwait City,,,Kuwait
33332,50049,"Block 8, Street 103, Building 33, Apartment 33",,,Jabriya,,,Kuwait
33332,50050,"Mubarak Al Kabir, Darwaza abdul Razak Square",,,Kuwait City,,,Kuwait
33333,50052,,,,,,,Kuwait
33498,50295,Sea Road Summerland,Jnah,,Beirut,,,Lebanon
33498,50467,,,,Nabi Aylah,"Zahleh, Bekaa",,Lebanon
33499,50425,,,,,,,Lebanon
33500,50298,France Street Pavilion Building,Villa Jihad el Arab,Downtown Mina el Hosn,Beirut,,,Lebanon
34436,51566,,,,,,,Lebanon
34437,51565,,,,,,,Lebanon
34438,51568,,,,,,,Lebanon
34476,51647,,,,,,,Lebanon
34476,51648,,,,,,,Germany
34476,51649,,,,,,,Morocco
34476,51650,,,,,,,Ethiopia
34476,51652,,,,,,,Iraq
34476,51653,,,,,,,Ghana
34476,51654,,,,,,,Nigeria
34476,51655,,,,,,,Turkey
34477,51657,,,,,,,Zambia
34954,52399,,,,Beirut,,,Lebanon
34955,52404,,,,,,,Guinea
36083,54282,"Mirna Chalouhi Commercial Center, Boulevard Sin El-Fil",,,Beirut,,,Lebanon
37416,55904,,,,Beirut,,,Lebanon
37419,55944,,,,,,,Lebanon
37674,56343,"Unit No: 1305, Platinum Tower","Plot No: JLT-PH1-I2, Jumeirah Lakes Towers",,Dubai,,,United Arab Emirates
37674,57649,Quai Du Mont-Blanc 4th Floor,1201,,Geneva,,,Switzerland
37675,56347,Al Maliya Street,,,Beirut,,,Lebanon
37675,56350,Nejmeh Square,Real Estate No. 1084 of the Port Real Estate District,,Beirut,,,Lebanon
37677,56353,"Najmeh Square, al-Maliyya Street, Second Floor",,,Beirut,,,Lebanon
37679,57823,,,,,,,Lebanon
37680,57824,,,,,,,Lebanon
39658,59048,"Chemin Des Princes 2, 1223",,,Cologny,,,Switzerland
39658,59058,,,,Geneva,,,Switzerland
39659,59287,,,,,,,Iran
39662,59284,,,,,,,Iran
39663,59060,,,,Beirut,,,Lebanon
39663,59062,,,,Tehran,,,Iran
40134,59764,,,,,,,Lebanon
40536,60384,,,,Jarjo,Nabatiyeh,,Lebanon
41696,62245,,,,Tfail,,,Lebanon
41700,62251,,,,,,,Syria
41700,62252,,,,,,,Lebanon
44499,67180,,,,,,,Lebanon
44522,66296,,,,,Carabobo,,Venezuela
44581,66354,Chalet C9601 Portemilio Resort,,,Kaslik,Keserwan-Jbeil,,Lebanon
44582,66363,,,,Beirut,,,Lebanon
44583,66358,Street 10,Matn District,,Rabieh,Mount Lebanon,,Lebanon
44583,66364,,,,,,,United Kingdom
44584,66360,Street 10,Matn District,,Rabieh,Mount Lebanon,,Lebanon
44585,66362,65 Avenue Georges Mandel,,,Paris,,75016,France
44618,66408,,,,Nabatiyeh,,,Lebanon
44619,66410,"Property No. 335, Section No. 13, Ground Floor",,,Nabatiyeh,,,Lebanon
46074,68659,,,,,,,Iran
46075,68661,,,,,,,Iran
46076,68663,,,,,,,Iraq
46077,68665,,,,,,,Iraq
46268,68873,,,,,,,Iraq
46312,68937,,,,,,,Iraq
47177,70246,,,,Baghdad,,,Iraq
47178,70248,,,,Baghdad,,,Iraq
47179,70250,,,,Baghdad,,,Iraq
47329,70520,No. 26A Kayanarca Mahallesi,Yoruk Sokak,Pendik,Istanbul,,34890,Turkey
47330,70522,Bechara El Khoury Street,,,Beirut,,,Lebanon
48302,72427,,,,Beirut,,,Lebanon
50298,76205,Raouche,,,Beirut,,,Lebanon
50298,76206,,,,Ras El Matn,,,Lebanon
50480,76547,Nabi Eyal,,,Zahle,,,Lebanon
50480,76577,Klaimnus,,,Beirut,,,Lebanon
50481,76642,,,,Dekwaneh,,,Lebanon
50482,76550,,,,Baabda,,,Lebanon
50482,76551,"Queen's Plaza Center, Block C",Jdeideh Boulevard Street,Sin El-Fil,Baouchriyeh,,,Lebanon
50482,76552,PO Box 90326,,,Metn,,,Lebanon
50482,76553,"Grey Center, 2nd Floor",P.O. Box: 90326,Jdeidet,El Metn,,,Lebanon
50516,76581,Baouchriyeh Street,,,Sad El Baouchriyeh,Mount Lebanon,,Lebanon
50516,76582,,,,Ghazieh Zahrani,,,Lebanon
50516,76583,P.O. Box: 90326,Jdeidet,,El Metn,,,Lebanon
50516,76584,"Grey Center, 2nd Floor, Block A",,,Sin El Fil,,,Lebanon
50516,76585,,,,Baabda,,,Lebanon
50519,76587,"Queens Plaza Center, Section 401",Property 132,,Sad Al-Bouchrieh,,,Lebanon
51043,77647,Kaafat Atwi Building,,,Baabda,,,Lebanon
51050,77738,,,,Baabda,,,Lebanon
51067,77583,Al Mahmul Street,,,Al Hadath,,,Lebanon
51080,77606,,,,Beirut,,,Lebanon
53195,81152,Second Floor,Hana Building,Mehaniyya Street,Harat Hreik,,,Lebanon
53195,81153,"Knisseh Street, Hijazi Et Issa Building",,,Harat Hreik,,,Lebanon
53196,81156,,,,Istanbul,,34000,Turkey
53196,81312,,,,Beirut,,,Lebanon
53197,81158,,,,Nabatiyeh,,,Lebanon
53197,81159,,,,Istanbul,,,Turkey
53197,81160,,,,Beirut,,,Lebanon
53198,81162,,,,Aley,,,Lebanon
53198,81163,,,,Nabatiyeh,,,Lebanon
53403,81477,,,,Toufiqiye,Baalbek,,Lebanon
53404,81479,Property number 7317,,,Baalbek,,,Lebanon
54131,82609,Deir Qanoun en Nahr,,,Tyre,Al-Janoub,,Lebanon
54131,82610,Hay El Kfaat B,,,El Hdeth,Baabda,,Lebanon
54133,82614,Haris Bint Jbeil,,,Nabatieh,,,Lebanon
54133,82615,,,,Qom,,,Iran
54135,82618,Habboush,,,Nabatieh,,,Lebanon
54136,82620,Houmin El Fawqa,,,Nabatieh,,,Lebanon
55929,85617,,,,Baghdad,,,Iraq
56282,86112,,,,,,,Lebanon
56284,86117,Mayfadoun,,,Nabatieh,,,Lebanon
56286,86150,,,,,,,United Arab Emirates
